item_id,item_text,1,2,3,4,5
1,头痛,没有,很轻,中等,偏重,严重
2,神经过敏，心中不踏实,没有,很轻,中等,偏重,严重
3,头脑中有不必要的想法或字句,没有,很轻,中等,偏重,严重
4,头晕或昏倒,没有,很轻,中等,偏重,严重
5,对异性的兴趣减退,没有,很轻,中等,偏重,严重
6,对旁人责备求全,没有,很轻,中等,偏重,严重
7,感到别人能控制你的思想,没有,很轻,中等,偏重,严重
8,责怪别人造成的麻烦,没有,很轻,中等,偏重,严重
9,忘记事情,没有,很轻,中等,偏重,严重
10,担心自己的衣饰、仪表,没有,很轻,中等,偏重,严重
11,容易烦恼和激动,没有,很轻,中等,偏重,严重
12,胸痛,没有,很轻,中等,偏重,严重
13,害怕空旷的场所或街道,没有,很轻,中等,偏重,严重
14,感到自己的精力下降，活动减慢,没有,很轻,中等,偏重,严重
15,想结束自己的生命,没有,很轻,中等,偏重,严重
16,听到旁人听不到的声音,没有,很轻,中等,偏重,严重
17,发抖,没有,很轻,中等,偏重,严重
18,感到大多数人都不可信任,没有,很轻,中等,偏重,严重
19,胃口不好,没有,很轻,中等,偏重,严重
20,容易哭泣,没有,很轻,中等,偏重,严重
21,同异性相处时感到不自在,没有,很轻,中等,偏重,严重
22,感到受骗、被利用或被陷害,没有,很轻,中等,偏重,严重
23,无缘无故地突然感到害怕,没有,很轻,中等,偏重,严重
24,自己不能控制地发脾气,没有,很轻,中等,偏重,严重
25,怕单独出门,没有,很轻,中等,偏重,严重
26,经常责怪自己,没有,很轻,中等,偏重,严重
27,腰痛,没有,很轻,中等,偏重,严重
28,感到难以完成任务,没有,很轻,中等,偏重,严重
29,感到孤独,没有,很轻,中等,偏重,严重
30,感到苦闷,没有,很轻,中等,偏重,严重
31,过分担忧,没有,很轻,中等,偏重,严重
32,对事物不感兴趣,没有,很轻,中等,偏重,严重
33,感到害怕,没有,很轻,中等,偏重,严重
34,我的感情容易受到伤害,没有,很轻,中等,偏重,严重
35,旁人能知道你的思想,没有,很轻,中等,偏重,严重
36,感到别人不理解你、不同情你,没有,很轻,中等,偏重,严重
37,感到人们对你不友好、不喜欢你,没有,很轻,中等,偏重,严重
38,做事必须反复检查,没有,很轻,中等,偏重,严重
39,难以做出决定,没有,很轻,中等,偏重,严重
40,怕乘坐公共汽车、地铁或火车,没有,很轻,中等,偏重,严重
41,感到在公共场所吃东西很不舒服,没有,很轻,中等,偏重,严重
42,经常与人争论,没有,很轻,中等,偏重,严重
43,感到神经紧张,没有,很轻,中等,偏重,严重
44,感到别人对你的成就不认可,没有,很轻,中等,偏重,严重
45,感到孤单,没有,很轻,中等,偏重,严重
46,感到坐立不安,没有,很轻,中等,偏重,严重
47,感到自己没有什么价值,没有,很轻,中等,偏重,严重
48,感到熟悉的东西变得陌生或不真实,没有,很轻,中等,偏重,严重
49,大叫或摔东西,没有,很轻,中等,偏重,严重
50,害怕会在公共场合昏倒,没有,很轻,中等,偏重,严重
51,感到别人想占你的便宜,没有,很轻,中等,偏重,严重
52,感到别人不理解你,没有,很轻,中等,偏重,严重
53,感到事情很难完成,没有,很轻,中等,偏重,严重
54,感到自己很容易疲劳,没有,很轻,中等,偏重,严重
55,感到肌肉酸痛,没有,很轻,中等,偏重,严重
56,感到身体某部位发麻或刺痛,没有,很轻,中等,偏重,严重
57,感到喉咙有阻塞感,没有,很轻,中等,偏重,严重
58,感到未来没有希望,没有,很轻,中等,偏重,严重
59,难以集中注意力,没有,很轻,中等,偏重,严重
60,感到身体发冷或发热,没有,很轻,中等,偏重,严重
61,感到思想被干扰,没有,很轻,中等,偏重,严重
62,入睡困难,没有,很轻,中等,偏重,严重
63,感到做事必须很慢以保证正确,没有,很轻,中等,偏重,严重
64,感到自己的身体很虚弱,没有,很轻,中等,偏重,严重
65,感到紧张或容易受惊,没有,很轻,中等,偏重,严重
66,感到手脚发沉,没有,很轻,中等,偏重,严重
67,感到烦躁,没有,很轻,中等,偏重,严重
68,感到吃东西没有胃口,没有,很轻,中等,偏重,严重
69,感到胸闷,没有,很轻,中等,偏重,严重
70,感到事情失去控制,没有,很轻,中等,偏重,严重
71,感到紧张不安,没有,很轻,中等,偏重,严重
72,感到自己可能会发疯,没有,很轻,中等,偏重,严重
73,感到想打人或伤害他人,没有,很轻,中等,偏重,严重
74,感到对事情缺乏兴趣,没有,很轻,中等,偏重,严重
75,感到想摔坏东西,没有,很轻,中等,偏重,严重
76,感到生活没有意义,没有,很轻,中等,偏重,严重
77,感到想结束生命,没有,很轻,中等,偏重,严重
78,感到不安,没有,很轻,中等,偏重,严重
79,感到害怕,没有,很轻,中等,偏重,严重
80,感到心慌,没有,很轻,中等,偏重,严重
81,感到压抑,没有,很轻,中等,偏重,严重
82,感到紧张,没有,很轻,中等,偏重,严重
83,感到焦虑,没有,很轻,中等,偏重,严重
84,感到恐惧,没有,很轻,中等,偏重,严重
85,感到绝望,没有,很轻,中等,偏重,严重
86,感到无助,没有,很轻,中等,偏重,严重
87,感到自责,没有,很轻,中等,偏重,严重
88,感到羞愧,没有,很轻,中等,偏重,严重
89,感到被忽视,没有,很轻,中等,偏重,严重
90,感到精神紧张,没有,很轻,中等,偏重,严重
