题目ID,维度,题目内容,选项1,选项2,选项3,选项4,选项5,计分权重,反向计分
A01,学业压力,我觉得课程难度超出了我的接受能力,没有,很轻,中等,偏重,严重,1,False
A02,学业压力,我常常担心期末考试会挂科,没有,很轻,中等,偏重,严重,1,False
A03,学业压力,面对繁重的作业，我感到无法呼吸,没有,很轻,中等,偏重,严重,1,False
A04,学业压力,我觉得自己的学习效率明显下降,没有,很轻,中等,偏重,严重,1,False
A05,学业压力,我害怕在课堂上被老师提问,没有,很轻,中等,偏重,严重,1,False
A06,学业压力,我对自己的专业前景感到迷茫,没有,很轻,中等,偏重,严重,1,False
A07,学业压力,我经常因为学习问题失眠,没有,很轻,中等,偏重,严重,1,False
A08,学业压力,我觉得自己在学习上付出的努力没有回报,没有,很轻,中等,偏重,严重,1,False
A09,学业压力,我看到书本或课件会感到莫名的烦躁,没有,很轻,中等,偏重,严重,1,False
A10,学业压力,我害怕毕业后找不到与专业相关的工作,没有,很轻,中等,偏重,严重,1,False
A11,学业压力,我常常因为学习成绩不如别人而感到自卑,没有,很轻,中等,偏重,严重,1,False
A12,学业压力,我觉得学校的竞争环境让我透不过气,没有,很轻,中等,偏重,严重,1,False
A13,学业压力,我经常因为学习问题与家人发生争执,没有,很轻,中等,偏重,严重,1,False
A14,学业压力,我觉得自己记忆力变差，记不住知识点,没有,很轻,中等,偏重,严重,1,False
A15,学业压力,我对参加学术活动或比赛感到抗拒,没有,很轻,中等,偏重,严重,1,False
A16,学业压力,我觉得自己的学习动力不足,没有,很轻,中等,偏重,严重,1,False
A17,学业压力,我经常因为担心考试而食欲不振,没有,很轻,中等,偏重,严重,1,False
A18,学业压力,我觉得周围的同学都比我优秀,没有,很轻,中等,偏重,严重,1,False
A19,学业压力,我害怕在小组作业中拖后腿,没有,很轻,中等,偏重,严重,1,False
A20,学业压力,我觉得自己无法平衡学习与娱乐的时间,没有,很轻,中等,偏重,严重,1,False
B01,宿舍关系,我觉得很难融入宿舍的聊天话题,没有,很轻,中等,偏重,严重,1,False
B02,宿舍关系,我担心室友会在背后议论我,没有,很轻,中等,偏重,严重,1,False
B03,宿舍关系,我觉得宿舍的氛围让我感到压抑,没有,很轻,中等,偏重,严重,1,False
B04,宿舍关系,我与室友在生活习惯上有很大冲突,没有,很轻,中等,偏重,严重,1,False
B05,宿舍关系,我害怕在宿舍独处,没有,很轻,中等,偏重,严重,1,False
B06,宿舍关系,我觉得室友对我有敌意,没有,很轻,中等,偏重,严重,1,False
